meskie,damskie,nazwiska_m,nazwiska_d,miasto
FERDYNAND,MARTINA,FRANKOWSKI,FRĄCKOWIAK,
LUKAS,GRETA,BOCHENEK,WALKOWIAK,
HORST,EKATERINA,ZYGMUNT,BOCHENEK,
JAMES,INA,CICHY,JANAS,
JUAN,VERANIKA,ŻMUDA,JUSZCZAK,
ANDREW,NADIYA,PASTERNAK,PIETRAS,
ERIC,YARYNA,KWAŚNIEWSKI,SOKÓŁ,
AHMED,MIRA,NAWROT,MROCZEK,
JAROMIR,HANNAH,WIĘCKOWSKI,NAWROT,
RUSTAM,YELIZAVETA,WÓJCICKI,WOJTCZAK,
AARON,LYUDMYLA,JUSZCZAK,PAWELEC,
VASILE,ARIANA,GAWEŁ,DUDZIŃSKA,
DENNIS,ELLA,MROCZEK,WNUK,
MARKUS,MALINA,PIETRAS,PASTERNAK,
DIEGO,RUTA,JANAS,WÓJCICKA,
SERGEY,JENNIFER,DUDZIŃSKI,ROSIAK,
FRANK,ELVIRA,ROSIAK,ZYGMUNT,
CARLOS,HELGA,KARAŚ,LASOTA,
ARTHUR,ELIZABETH,LASOTA,JĘDRZEJCZYK,
MOHAMMAD,LINDA,ŁAPIŃSKI,BURZYŃSKA,
SEMEN,LIZAVETA,FIJAŁKOWSKI,WROŃSKA,
DIONIZY,LILY,MISIAK,KOŁODZIEJSKA,
MUHAMMAD,VALERIA,WOJTCZAK,CZYŻEWSKA,
HERMAN,ANDRIANA,SKRZYPEK,SZAFRAŃSKA,
RADOMIR,ALESIA,PIÓRKOWSKI,PIWOWARCZYK,
JOSE,PATRICIA,WROŃSKI,ŻMUDA,
JOSEPH,VERA,BUJAK,SKRZYPEK,
DOMINIC,SABRINA,KRYSIAK,GRUSZCZYŃSKA,
PLATON,WIERA,JĘDRZEJCZYK,FIJAŁKOWSKA,
NICOLAE,VIOLETA,KOŁODZIEJSKI,KRYSIAK,
ILIA,DINA,DĄBEK,JURKIEWICZ,
LUIS,DOBROSŁAWA,KUBACKI,PIÓRKOWSKA,
AMIR,LYUBOV,CZYŻEWSKI,ŁUKASIEWICZ,
YAUHEN,DANA,GRUSZCZYŃSKI,JAGIEŁŁO,
ELIGIUSZ,CARMEN,PIWOWARCZYK,ŁAPIŃSKA,
ŁUCJAN,GERDA,GUTOWSKI,MISIAK,
LASHA,ALICE,BURZYŃSKI,BOROWIEC,
LEVAN,GABRIELLA,BOROWIEC,ZAJĄCZKOWSKA,
GERHARD,NICOL,SZAFRAŃSKI,MASŁOWSKA,
OLEKSIY,LIANA,SOŁTYS,DĄBEK,
IZYDOR,TAMILA,MASŁOWSKI,JAGODZIŃSKA,
MUSTAFA,VIKTORIYA,STELMACH,BUJAK,
KIRILL,NAOMI,JAGIEŁŁO,KRAKOWIAK,
MARIO,YULIANA,JAGODZIŃSKI,LISIECKA,
RODION,MARCJANNA,ŁUKASZEWSKI,GAWEŁ,
EWALD,AKSANA,TARNOWSKI,JĘDRZEJCZAK,
ROGER,EULALIA,ZIELONKA,PILARSKA,
LUCA,BERNARDYNA,ZAJĄCZKOWSKI,ROMANIUK,
WIT,SIMONA,CEBULA,DZIUBA,
ANATOLIY,WANESA,DZIUBA,GUTOWSKA,
SAMIR,ALICIA,BOBER,WILCZEK,
JORDAN,JAROSŁAWA,KRAKOWIAK,SOBIERAJ,
IEVGEN,MAJKA,KAŁUŻNY,KARAŚ,
DUMITRU,DALIA,CYGAN,TWARDOWSKA,
NOAH,IRMGARDA,BIELAWSKI,FLIS,
OMAR,VLADA,LISIECKI,STELMACH,
SERGIU,CAROLINE,ŁUKASIEWICZ,STRZELCZYK,
PASCAL,MARITA,WOŹNY,DRZEWIECKA,
HENADZI,ANIKA,WILCZEK,DĘBOWSKA,
MATTEO,KRYSTSINA,SKOCZYLAS,BIELAWSKA,
BRAYAN,DŻESIKA,FALKOWSKI,ŁUKASZEWSKA,
FRANCESCO,LILLY,FILIPEK,SKOCZYLAS,
ALEKSEI,HANKA,JURKIEWICZ,ZIELONKA,
GHEORGHE,VITALIIA,KAŁUŻA,SKIBIŃSKA,
MANUEL,BOGDANA,SZCZEŚNIAK,FALKOWSKA,
HENRY,LARISA,DRZEWIECKI,KUBICA,
KONSTANTIN,NASTASSIA,PILARSKI,TARNOWSKA,
ANDREY,NADZEYA,PAKUŁA,BOBER,
GEORGE,BIANCA,JAKUBIAK,SZCZEŚNIAK,
MOHAMMED,CRISTINA,SKIBIŃSKI,SOŁTYS,
ZURAB,MAIA,JĘDRZEJCZAK,KAŁUŻA,
NATHANIEL,KATERINA,KĘDZIORA,IVANOVA,
JOSHUA,WIRGINIA,SOBIERAJ,CYGAN,
RYAN,AURORA,GĄSIOROWSKI,BILSKA,
ALESSANDRO,LUDMILA,DĘBOWSKI,RACZYŃSKA,
IVO,DAJANA,STRZELCZYK,BOIKO,
ZBYSŁAW,ULYANA,FLIS,JAKUBIAK,
FELIX,NELLY,ROMANIUK,PAKUŁA,
CRISTIAN,MARIAM,RACZYŃSKI,FILIPEK,
EDGAR,MELISA,TWARDOWSKI,MIERZEJEWSKA,
BAZYLI,KAYA,KULIG,SZWED,
IAN,ERNA,STANEK,CEBULA,
ZAZA,EMANUELA,GOŁĄB,GÓRNIAK,
ALLAN,NIKOLETTA,GUZIK,WASIAK,
ALEXANDRE,INKA,MIERZEJEWSKI,GĄSIOROWSKA,
EGOR,MELANIIA,WASIAK,STANEK,
MAMUKA,STEFANIIA,KOVALCHUK,MAJCHER,
AUGUST,ELIZAVETA,GÓRNIAK,WIĘCEK,
BRYAN,TEOFILA,MAJCHER,GUZIK,
AHMET,LUBA,WIĘCEK,KĘDZIORA,
CONSTANTIN,ZOE,RUSIN,BARTOSIK,
IAROSLAV,LILIYA,KUBICA,KRUPIŃSKA,
CYRYL,CAROLINA,GÓRAL,MATUSZAK,
VALENTIN,YULIA,MATUSZAK,NOWACZYK,
MATVIY,ABIGAIL,MOTYKA,RUSIN,
BORIS,BERENIKA,WOLAK,GÓRAL,
KARIM,JÓZEFINA,BARTOSIK,STOLARCZYK,
GOCHA,IRMA,BURY,CISZEWSKA,
NIKA,ALIONA,GRZYWACZ,STASZEWSKA,
KAI,BALBINA,FLOREK,URBAŃCZYK,
KLAUS,IDALIA,BILSKI,WOLAK,
ROBERTO,RAMONA,DROZDOWSKI,KULIG,
DMITRY,MELISSA,SZWED,CZAPLA,
VALERIY,HANA,WOJTAS,JAŚKIEWICZ,
JAKOB,LEILA,PYTEL,PARTYKA,
WOLFGANG,DZIYANA,CHOLEWA,DROZDOWSKA,
NICOLAI,MARIE,CZAPLA,KOPCZYŃSKA,
ALEKSANDRE,DARINA,KASZUBA,ZAGÓRSKA,
GNIEWOMIR,MICHAELA,STOLARCZYK,BONDARENKO,
MARKIIAN,ŻAKLINA,NOWACZYK,FLOREK,
BOGUSZ,MONICA,KRUPIŃSKI,RUCIŃSKA,
COLIN,CLARA,URBAŃCZYK,KASZUBA,
PABLO,NINO,PARTYKA,PYTEL,
DMYTRII,KORNELA,BIELAK,SŁAWIŃSKA,
IWAN,INGRID,PACZKOWSKI,ZWOLIŃSKA,
IBRAHIM,SWIETŁANA,KOPCZYŃSKI,CHOLEWA,
ZACHARY,AMALIA,PROKOP,SIEDLECKA,
BEKA,FATIMA,ZAGÓRSKI,KACZMARSKA,
KRISTIAN,ARYNA,DUBIEL,GRZYWACZ,
RICARDO,EMILA,JAŚKIEWICZ,KOVALENKO,
MURAT,IWONNA,MICHAŁEK,PACZKOWSKA,
MAXYMILIAN,TAISA,MISZTAL,SŁOWIŃSKA,
HLEB,ROXANA,STASZEWSKI,PROKOP,
ZBYSZEK,FILOMENA,GWÓŹDŹ,GOŁĄB,
MICHAL,BLANDYNA,RUCIŃSKI,MOTYKA,
JORGE,SEWERYNA,KUC,PAWLIKOWSKA,
DYMITR,YAUHENIYA,KAPUSTA,MISZTAL,
JUSTIN,SYBILLA,MALICKI,MODZELEWSKA,
ANDREA,KUNEGUNDA,BOŻEK,KAŁUŻNA,
ELDAR,LISA,SIEDLECKI,MILCZAREK,
ALEJANDRO,LIA,BIAŁY,ANDRZEJCZAK,
VSEVOLOD,BENEDYKTA,JANKOWIAK,MICHAŁEK,
ALEXEI,LIGIA,ŚWIERCZYŃSKI,WOJTAS,
VEACESLAV,ORYSIA,KĘPA,DUBIEL,
BONIFACY,LUBOMIRA,MODZELEWSKI,MOROZ,
MIGUEL,TAMAR,PŁONKA,JEZIERSKA,
MATTHIAS,DOBRAWA,CISZEWSKI,JACKOWSKA,
LUBOMIR,MYLANA,KUCHTA,STACHURA,
VALIANTSIN,INESA,ANDRZEJCZAK,GWÓŹDŹ,
PHILIPP,GRACJANA,GAŁKA,MALICKA,
DMITRI,CELESTYNA,SKÓRA,ROSA,
AURELIUSZ,SILVIA,JANUSZ,SOCHACKA,
JOEL,ELA,BIEŃKOWSKI,BIELAK,
LEANID,MIIA,JURKOWSKI,BIEŃKOWSKA,
DONAT,VALIANTSINA,SIERADZKI,BOŻEK,
SERGIO,GABRYELA,SŁOWIŃSKI,SKALSKA,
ARTSEM,LUNA,SŁAWIŃSKI,SZYSZKA,
HASAN,INHA,MILCZAREK,JURKOWSKA,
VITALIE,SŁAWA,ZWOLIŃSKI,KĘPA,
TRISTAN,MARGARETA,KACZMARSKI,ŚWIERCZYŃSKA,
RUBEN,CHARLOTTE,SZCZERBA,SIERADZKA,
HANS,LILI,STACHURA,CHOJNOWSKA,
TOM,ELISA,PAWLIKOWSKI,BRODA,
RONALD,LEONIA,SZYSZKA,OLCZAK,
BARTEK,ŻANETTA,SITEK,GAŁKA,
PETR,SELENA,SOCHACKI,KUCHTA,
GIUSEPPE,ZOYA,JEZIERSKI,PŁONKA,
RENAT,TINA,ROSA,JANUSZ,
PEDRO,IANA,STĘPNIAK,JANKOWIAK,
DANILO,LEONTYNA,JACKOWSKI,KUC,
DYLAN,INGEBORGA,KOLASA,SZCZERBA,
TOBIAS,ORIANA,WOŚ,KWIECIŃSKA,
EDUARDO,BERNARDETA,BRODA,DUDZIK,
DAN,LUCIA,DUDZIK,IWAŃSKA,
YARASLAU,JASMINA,CHMURA,MROCZKOWSKA,
ALBERTO,GIULIA,LIPKA,PASZKOWSKA,
TIMOTHY,KASANDRA,MROCZKOWSKI,LENART,
KURT,JASMIN,SHEVCHENKO,STĘPNIAK,
DIETER,BENITA,OLCZAK,KNAPIK,
ARMEN,KAREN,IWAŃSKI,KOLASA,
ARMIN,SAMANTHA,MAŚLANKA,KRUSZEWSKA,
ANGELO,NATASHA,NOGA,SITEK,
DAVITI,MELANIE,DEC,WOŚ,
KASPIAN,ELISABETH,MAJKA,SZATKOWSKA,
AXEL,NATALYA,KWIECIŃSKI,SUSKA,
GELA,NELLA,KNAPIK,CHMURA,
FERNANDO,JESIKA,KOGUT,WYSZYŃSKA,
EMMANUEL,SYLVIA,CHOJNOWSKI,KAPUSTA,
TORNIKE,LAILA,SALAMON,KOWALCZUK,
FABIO,SOFIJA,SZATKOWSKI,MAJKA,
GUY,LETYCJA,SKALSKI,SKÓRA,
GIOVANNI,LIZA,MAŃKOWSKI,DEC,
TSIMAFEI,NATHALIE,TRZECIAK,STANISŁAWSKA,
ZACHARIASZ,KARIN,TOKARZ,SALAMON,
AMIT,EUNIKA,DUDZIAK,FLORCZAK,
ALEXEY,CATHERINE,LENART,PUCHALSKA,
FRANCISCO,DAGNA,BOIKO,DUDZIAK,
MIROSLAV,NOA,FLORCZAK,CZECHOWSKA,
EVGENII,SUSANNA,WYSZYŃSKI,DOMINIAK,
CHRISTOPH,DOBROCHNA,KOZA,WŁODARSKA,
STEVEN,KATHERINE,DOBRZYŃSKI,MICHALCZYK,
MARCUS,NELLI,KOWALCZUK,AUGUSTYN,
BRAK DANYCH,BOZHENA,KITA,TRZECIAK,
AHMAD,JESSIKA,PASZKOWSKI,JANUSZEWSKA,
MARC,BERTA,KOBUS,SHEVCHUK,
ISMAIL,MARGARYTA,MICHALCZYK,LIPKA,
ILLYA,ORYNA,KOŁAKOWSKI,ZDUNEK,
NIKOLAI,NELL,SKOWRONEK,TOKARZ,
LOUIS,ELMIRA,STANISŁAWSKI,ADAMCZAK,
TOMAS,YAEL,KOS,TOMALA,
MICHEL,SAMIRA,ZDUNEK,MAŃKOWSKA,
CHARLES,LAYLA,BUCZYŃSKI,KAWA,
JAVIER,VIVIEN,KRUSZEWSKI,KOTOWSKA,
JEAN,ARIANNA,MROZEK,MOLENDA,
